OOB	CEN	LAB	NW	SW
0.331460674	0.529411765	0.28372093	0.09375	0.43902439
0.331460674	0.544117647	0.274418605	0.125	0.43902439
0.314606742	0.529411765	0.260465116	0.09375	0.414634146
0.331460674	0.529411765	0.279069767	0.125	0.43902439
0.323033708	0.514705882	0.274418605	0.09375	0.43902439
0.331460674	0.544117647	0.279069767	0.09375	0.43902439
0.320224719	0.5	0.28372093	0.0625	0.414634146
0.323033708	0.485294118	0.28372093	0.09375	0.43902439
0.31741573	0.5	0.265116279	0.125	0.43902439
0.328651685	0.514705882	0.28372093	0.09375	0.43902439
0.314606742	0.5	0.269767442	0.0625	0.43902439
0.325842697	0.5	0.28372093	0.125	0.414634146
0.325842697	0.5	0.279069767	0.125	0.43902439
0.323033708	0.514705882	0.279069767	0.0625	0.43902439
